epoch,trainingLoss,validationLoss
1,8.4746,8.4964
2,8.1533,8.3956
3,8.0492,8.2879
4,7.9350,8.1666
5,7.8038,8.0244
6,7.6481,7.8530
7,7.4590,7.6430
8,7.2273,7.3846
9,6.9454,7.0709
10,6.6103,6.7022
11,6.2292,6.2920
12,5.8244,5.8696
13,5.4300,5.4728
14,5.0793,5.1309
15,4.7902,4.8540
16,4.5615,4.6360
17,4.3817,4.4638
18,4.2374,4.3252
19,4.1177,4.2106
20,4.0153,4.1133
21,3.9251,4.0289
22,3.8439,3.9542
23,3.7696,3.8871
24,3.7007,3.8260
25,3.6362,3.7697
26,3.5753,3.7175
27,3.5176,3.6688
28,3.4627,3.6230
29,3.4104,3.5797
30,3.3603,3.5388
31,3.3123,3.4999
32,3.2662,3.4629
33,3.2219,3.4276
34,3.1793,3.3938
35,3.1382,3.3615
36,3.0987,3.3305
37,3.0605,3.3008
38,3.0236,3.2722
39,2.9880,3.2447
40,2.9536,3.2182
41,2.9202,3.1926
42,2.8879,3.1679
43,2.8565,3.1439
44,2.8261,3.1208
45,2.7965,3.0984
46,2.7677,3.0766
47,2.7397,3.0555
48,2.7123,3.0350
49,2.6857,3.0150
50,2.6596,2.9956
51,2.6342,2.9767
52,2.6092,2.9582
53,2.5849,2.9402
54,2.5610,2.9226
55,2.5376,2.9054
56,2.5146,2.8886
57,2.4921,2.8721
58,2.4700,2.8560
59,2.4483,2.8402
60,2.4269,2.8247
61,2.4060,2.8095
62,2.3854,2.7945
63,2.3652,2.7798
64,2.3453,2.7654
65,2.3258,2.7512
66,2.3066,2.7372
67,2.2878,2.7234
68,2.2692,2.7099
69,2.2510,2.6966
70,2.2330,2.6834
71,2.2154,2.6705
72,2.1980,2.6578
73,2.1809,2.6453
74,2.1640,2.6330
75,2.1475,2.6208
76,2.1312,2.6089
77,2.1151,2.5972
78,2.0993,2.5856
79,2.0837,2.5742
80,2.0684,2.5630
81,2.0533,2.5520
82,2.0385,2.5412
83,2.0238,2.5305
84,2.0094,2.5200
85,1.9952,2.5096
86,1.9813,2.4995
87,1.9675,2.4894
88,1.9540,2.4796
89,1.9406,2.4699
90,1.9275,2.4603
91,1.9145,2.4509
92,1.9018,2.4417
93,1.8892,2.4325
94,1.8769,2.4236
95,1.8647,2.4147
96,1.8526,2.4060
97,1.8408,2.3974
98,1.8291,2.3890
99,1.8176,2.3807
100,1.8063,2.3725
101,1.7951,2.3644
102,1.7840,2.3564
103,1.7731,2.3486
104,1.7624,2.3409
105,1.7518,2.3332
106,1.7414,2.3257
107,1.7310,2.3183
108,1.7209,2.3110
109,1.7108,2.3038
110,1.7009,2.2967
111,1.6911,2.2898
112,1.6814,2.2829
113,1.6718,2.2761
114,1.6624,2.2693
115,1.6531,2.2627
116,1.6439,2.2562
117,1.6348,2.2498
118,1.6258,2.2434
119,1.6169,2.2371
120,1.6081,2.2309
121,1.5994,2.2248
122,1.5908,2.2188
123,1.5823,2.2128
124,1.5739,2.2070
125,1.5656,2.2012
126,1.5574,2.1954
127,1.5493,2.1898
128,1.5412,2.1842
129,1.5333,2.1787
130,1.5254,2.1733
131,1.5177,2.1679
132,1.5100,2.1626
133,1.5024,2.1573
134,1.4948,2.1522
135,1.4874,2.1471
136,1.4800,2.1420
137,1.4727,2.1370
138,1.4655,2.1321
139,1.4583,2.1273
140,1.4513,2.1225
141,1.4443,2.1177
142,1.4373,2.1130
143,1.4305,2.1084
144,1.4237,2.1038
145,1.4169,2.0993
146,1.4103,2.0949
147,1.4037,2.0905
148,1.3972,2.0861
149,1.3907,2.0818
150,1.3843,2.0776
151,1.3779,2.0734
152,1.3717,2.0693
153,1.3654,2.0652
154,1.3593,2.0612
155,1.3532,2.0572
156,1.3471,2.0532
157,1.3411,2.0493
158,1.3352,2.0455
159,1.3293,2.0417
160,1.3235,2.0379
161,1.3177,2.0342
162,1.3120,2.0306
163,1.3063,2.0269
164,1.3007,2.0234
165,1.2951,2.0198
166,1.2896,2.0163
167,1.2841,2.0129
168,1.2787,2.0095
169,1.2733,2.0061
170,1.2680,2.0028
171,1.2627,1.9995
172,1.2575,1.9962
173,1.2523,1.9930
174,1.2471,1.9899
175,1.2420,1.9867
176,1.2369,1.9836
177,1.2319,1.9805
178,1.2269,1.9775
179,1.2219,1.9745
180,1.2170,1.9716
181,1.2122,1.9686
182,1.2073,1.9658
183,1.2025,1.9629
184,1.1978,1.9601
185,1.1931,1.9573
186,1.1884,1.9545
187,1.1837,1.9518
188,1.1791,1.9491
189,1.1745,1.9465
190,1.1700,1.9438
191,1.1655,1.9412
192,1.1610,1.9387
193,1.1566,1.9361
194,1.1522,1.9336
195,1.1478,1.9311
196,1.1434,1.9287
197,1.1391,1.9262
198,1.1349,1.9239
199,1.1306,1.9215
200,1.1264,1.9191
201,1.1222,1.9168
202,1.1180,1.9146
203,1.1139,1.9123
204,1.1098,1.9101
205,1.1057,1.9079
206,1.1017,1.9057
207,1.0977,1.9035
208,1.0937,1.9014
209,1.0897,1.8993
210,1.0858,1.8972
211,1.0819,1.8952
212,1.0780,1.8932
213,1.0742,1.8912
214,1.0704,1.8892
215,1.0666,1.8872
216,1.0628,1.8853
217,1.0591,1.8834
218,1.0553,1.8815
219,1.0516,1.8796
220,1.0480,1.8778
221,1.0443,1.8760
222,1.0407,1.8742
223,1.0371,1.8724
224,1.0336,1.8707
225,1.0300,1.8689
226,1.0265,1.8672
227,1.0230,1.8655
228,1.0195,1.8639
229,1.0161,1.8622
230,1.0126,1.8606
231,1.0092,1.8590
232,1.0058,1.8574
233,1.0025,1.8559
234,0.9991,1.8543
235,0.9958,1.8528
236,0.9925,1.8513
237,0.9892,1.8498
238,0.9860,1.8483
239,0.9827,1.8469
240,0.9795,1.8455
241,0.9763,1.8440
242,0.9732,1.8426
243,0.9700,1.8413
244,0.9669,1.8399
245,0.9638,1.8386
246,0.9607,1.8372
247,0.9576,1.8359
248,0.9545,1.8347
249,0.9515,1.8334
250,0.9485,1.8321
251,0.9455,1.8309
252,0.9425,1.8297
253,0.9396,1.8285
254,0.9366,1.8273
255,0.9337,1.8261
256,0.9308,1.8249
257,0.9279,1.8238
258,0.9250,1.8227
259,0.9222,1.8216
260,0.9194,1.8205
261,0.9165,1.8194
262,0.9137,1.8183
263,0.9110,1.8173
264,0.9082,1.8162
265,0.9054,1.8152
266,0.9027,1.8142
267,0.9000,1.8132
268,0.8973,1.8122
269,0.8946,1.8113
270,0.8919,1.8103
271,0.8893,1.8094
272,0.8867,1.8084
273,0.8840,1.8075
274,0.8814,1.8066
275,0.8788,1.8057
276,0.8763,1.8049
277,0.8737,1.8040
278,0.8712,1.8032
279,0.8686,1.8023
280,0.8661,1.8015
281,0.8636,1.8007
282,0.8611,1.7999
283,0.8586,1.7991
284,0.8562,1.7983
285,0.8537,1.7976
286,0.8513,1.7968
287,0.8489,1.7961
288,0.8465,1.7953
289,0.8441,1.7946
290,0.8417,1.7939
291,0.8394,1.7932
292,0.8370,1.7925
293,0.8347,1.7918
294,0.8323,1.7912
295,0.8300,1.7905
296,0.8277,1.7899
297,0.8254,1.7892
298,0.8232,1.7886
299,0.8209,1.7880
300,0.8186,1.7874
301,0.8164,1.7868
302,0.8142,1.7862
303,0.8120,1.7856
304,0.8098,1.7851
305,0.8076,1.7845
306,0.8054,1.7840
307,0.8032,1.7834
308,0.8011,1.7829
309,0.7989,1.7824
310,0.7968,1.7819
311,0.7947,1.7814
312,0.7926,1.7809
313,0.7905,1.7804
314,0.7884,1.7799
315,0.7863,1.7794
316,0.7842,1.7790
317,0.7822,1.7785
318,0.7801,1.7781
319,0.7781,1.7776
320,0.7761,1.7772
321,0.7740,1.7768
322,0.7720,1.7764
323,0.7700,1.7760
324,0.7681,1.7756
325,0.7661,1.7752
326,0.7641,1.7748
327,0.7622,1.7744
328,0.7602,1.7740
329,0.7583,1.7737
330,0.7563,1.7733
331,0.7544,1.7730
332,0.7525,1.7726
333,0.7506,1.7723
334,0.7487,1.7720
335,0.7468,1.7717
336,0.7450,1.7713
337,0.7431,1.7710
338,0.7413,1.7707
339,0.7394,1.7704
340,0.7376,1.7702
341,0.7357,1.7699
342,0.7339,1.7696
343,0.7321,1.7693
344,0.7303,1.7691
345,0.7285,1.7688
346,0.7267,1.7686
347,0.7250,1.7683
348,0.7232,1.7681
349,0.7214,1.7678
350,0.7197,1.7676
351,0.7179,1.7674
352,0.7162,1.7672
353,0.7145,1.7669
354,0.7128,1.7667
355,0.7111,1.7665
356,0.7093,1.7663
357,0.7077,1.7662
358,0.7060,1.7660
359,0.7043,1.7658
360,0.7026,1.7656
361,0.7009,1.7654
362,0.6993,1.7653
363,0.6976,1.7651
364,0.6960,1.7649
365,0.6944,1.7648
366,0.6927,1.7646
367,0.6911,1.7645
368,0.6895,1.7644
369,0.6879,1.7642
370,0.6863,1.7641
371,0.6847,1.7640
372,0.6831,1.7639
373,0.6815,1.7637
374,0.6800,1.7636
375,0.6784,1.7635
376,0.6768,1.7634
377,0.6753,1.7633
378,0.6738,1.7632
379,0.6722,1.7631
380,0.6707,1.7630
381,0.6692,1.7629
382,0.6676,1.7629
383,0.6661,1.7628
384,0.6646,1.7627
385,0.6631,1.7626
386,0.6616,1.7626
387,0.6602,1.7625
388,0.6587,1.7625
389,0.6572,1.7624
390,0.6557,1.7623
391,0.6543,1.7623
392,0.6528,1.7622
393,0.6514,1.7622
394,0.6499,1.7622
395,0.6485,1.7621
396,0.6471,1.7621
397,0.6456,1.7621
398,0.6442,1.7620
399,0.6428,1.7620
400,0.6414,1.7620
401,0.6400,1.7620
402,0.6386,1.7619
403,0.6372,1.7619
404,0.6358,1.7619
405,0.6345,1.7619
406,0.6331,1.7619
407,0.6317,1.7619
408,0.6304,1.7619
409,0.6290,1.7619
410,0.6277,1.7619
411,0.6263,1.7619
412,0.6250,1.7619
413,0.6236,1.7619
414,0.6223,1.7620
415,0.6210,1.7620
416,0.6197,1.7620
417,0.6184,1.7620
418,0.6171,1.7620
419,0.6158,1.7621
420,0.6145,1.7621
421,0.6132,1.7621
422,0.6119,1.7622
423,0.6106,1.7622
424,0.6093,1.7622
425,0.6080,1.7623
426,0.6068,1.7623
427,0.6055,1.7624
428,0.6043,1.7624
429,0.6030,1.7624
430,0.6018,1.7625
431,0.6005,1.7625
432,0.5993,1.7626
433,0.5981,1.7626
434,0.5968,1.7627
435,0.5956,1.7628
436,0.5944,1.7628
437,0.5932,1.7629
438,0.5920,1.7629
439,0.5908,1.7630
440,0.5896,1.7631
441,0.5884,1.7631
442,0.5872,1.7632
443,0.5860,1.7633
444,0.5848,1.7633
445,0.5836,1.7634
446,0.5825,1.7635
447,0.5813,1.7636
448,0.5801,1.7636
449,0.5790,1.7637
450,0.5778,1.7638
451,0.5767,1.7639
452,0.5755,1.7639
453,0.5744,1.7640
454,0.5732,1.7641
455,0.5721,1.7642
456,0.5710,1.7643
457,0.5698,1.7644
458,0.5687,1.7645
459,0.5676,1.7646
460,0.5665,1.7646
461,0.5654,1.7647
462,0.5643,1.7648
463,0.5632,1.7649
464,0.5621,1.7650
465,0.5610,1.7651
466,0.5599,1.7652
467,0.5588,1.7653
468,0.5577,1.7654
469,0.5566,1.7655
470,0.5556,1.7656
471,0.5545,1.7657
472,0.5534,1.7658
473,0.5524,1.7659
474,0.5513,1.7660
475,0.5502,1.7661
476,0.5492,1.7662
477,0.5481,1.7663
478,0.5471,1.7664
479,0.5461,1.7666
480,0.5450,1.7667
481,0.5440,1.7668
482,0.5429,1.7669
483,0.5419,1.7670
484,0.5409,1.7671
485,0.5399,1.7672
486,0.5389,1.7673
487,0.5378,1.7675
488,0.5368,1.7676
489,0.5358,1.7677
490,0.5348,1.7678
491,0.5338,1.7679
492,0.5328,1.7680
493,0.5318,1.7682
494,0.5308,1.7683
495,0.5299,1.7684
496,0.5289,1.7685
497,0.5279,1.7686
498,0.5269,1.7688
499,0.5259,1.7689
500,0.5250,1.7690
501,0.5240,1.7691
502,0.5230,1.7693
503,0.5221,1.7694
504,0.5211,1.7695
505,0.5202,1.7696
506,0.5192,1.7698
507,0.5183,1.7699
508,0.5173,1.7700
509,0.5164,1.7701
510,0.5154,1.7703
511,0.5145,1.7704
512,0.5136,1.7705
513,0.5126,1.7707
514,0.5117,1.7708
515,0.5108,1.7709
516,0.5099,1.7710
517,0.5090,1.7712
518,0.5080,1.7713
519,0.5071,1.7714
520,0.5062,1.7716
521,0.5053,1.7717
522,0.5044,1.7718
523,0.5035,1.7720
524,0.5026,1.7721
525,0.5017,1.7722
526,0.5008,1.7724
527,0.4999,1.7725
528,0.4990,1.7726
529,0.4982,1.7728
530,0.4973,1.7729
531,0.4964,1.7731
532,0.4955,1.7732
533,0.4946,1.7733
534,0.4938,1.7735
535,0.4929,1.7736
536,0.4920,1.7737
537,0.4912,1.7739
538,0.4903,1.7740
539,0.4895,1.7742
540,0.4886,1.7743
541,0.4878,1.7744
542,0.4869,1.7746
543,0.4861,1.7747
544,0.4852,1.7749
545,0.4844,1.7750
546,0.4835,1.7752
547,0.4827,1.7753
548,0.4819,1.7754
549,0.4810,1.7756
550,0.4802,1.7757
551,0.4794,1.7759
552,0.4786,1.7760
553,0.4777,1.7762
554,0.4769,1.7763
555,0.4761,1.7764
556,0.4753,1.7766
557,0.4745,1.7767
558,0.4737,1.7769
559,0.4729,1.7770
560,0.4720,1.7772
561,0.4712,1.7773
562,0.4704,1.7775
563,0.4696,1.7776
564,0.4689,1.7777
565,0.4681,1.7779
566,0.4673,1.7780
567,0.4665,1.7782
568,0.4657,1.7783
569,0.4649,1.7785
570,0.4641,1.7786
571,0.4634,1.7788
572,0.4626,1.7789
573,0.4618,1.7791
574,0.4610,1.7792
575,0.4603,1.7794
576,0.4595,1.7795
577,0.4587,1.7797
578,0.4580,1.7798
579,0.4572,1.7800
580,0.4564,1.7801
581,0.4557,1.7803
582,0.4549,1.7804
583,0.4542,1.7806
584,0.4534,1.7807
585,0.4527,1.7809
586,0.4519,1.7810
587,0.4512,1.7812
588,0.4504,1.7813
589,0.4497,1.7815
590,0.4490,1.7816
591,0.4482,1.7818
592,0.4475,1.7819
593,0.4468,1.7821
594,0.4460,1.7823
595,0.4453,1.7824
596,0.4446,1.7826
597,0.4438,1.7827
598,0.4431,1.7829
599,0.4424,1.7830
600,0.4417,1.7832
601,0.4410,1.7833
602,0.4403,1.7835
603,0.4395,1.7836
604,0.4388,1.7838
605,0.4381,1.7839
606,0.4374,1.7841
607,0.4367,1.7843
608,0.4360,1.7844
609,0.4353,1.7846
610,0.4346,1.7847
611,0.4339,1.7849
612,0.4332,1.7850
613,0.4325,1.7852
614,0.4318,1.7854
615,0.4312,1.7855
616,0.4305,1.7857
617,0.4298,1.7858
618,0.4291,1.7860
619,0.4284,1.7861
620,0.4277,1.7863
621,0.4271,1.7865
622,0.4264,1.7866
623,0.4257,1.7868
