epoch,trainingLoss,validationLoss
1,3.351,2.104
2,1.498,1.253
3,1.076,1.039
4,0.954,0.950
5,0.898,0.903
6,0.866,0.874
7,0.845,0.854
8,0.830,0.840
9,0.818,0.829
10,0.809,0.820
11,0.800,0.812
12,0.793,0.806
13,0.786,0.799
14,0.780,0.794
15,0.774,0.788
16,0.768,0.783
17,0.762,0.778
18,0.756,0.773
19,0.751,0.768
20,0.746,0.764
21,0.741,0.759
22,0.736,0.755
23,0.731,0.750
24,0.726,0.746
25,0.722,0.741
26,0.717,0.737
27,0.712,0.732
28,0.708,0.728
29,0.703,0.724
30,0.699,0.719
31,0.694,0.715
32,0.690,0.710
33,0.685,0.706
34,0.681,0.702
35,0.676,0.697
36,0.672,0.693
37,0.668,0.689
38,0.663,0.684
39,0.659,0.680
40,0.654,0.676
41,0.650,0.672
42,0.646,0.667
43,0.641,0.663
44,0.637,0.659
45,0.633,0.655
46,0.628,0.651
47,0.624,0.647
48,0.620,0.643
49,0.616,0.639
50,0.612,0.635
51,0.608,0.631
52,0.604,0.627
53,0.600,0.624
54,0.596,0.620
55,0.592,0.616
56,0.589,0.613
57,0.585,0.609
58,0.581,0.606
59,0.578,0.602
60,0.574,0.599
61,0.571,0.596
62,0.567,0.593
63,0.564,0.589
64,0.560,0.586
65,0.557,0.583
66,0.554,0.580
67,0.550,0.577
68,0.547,0.574
69,0.544,0.571
70,0.541,0.568
71,0.538,0.565
72,0.535,0.562
73,0.532,0.559
74,0.529,0.556
75,0.526,0.553
76,0.523,0.551
77,0.520,0.548
78,0.517,0.545
79,0.514,0.542
80,0.511,0.540
81,0.508,0.537
82,0.505,0.534
83,0.503,0.532
84,0.500,0.529
85,0.497,0.527
86,0.495,0.524
87,0.492,0.521
88,0.489,0.519
89,0.487,0.516
90,0.484,0.514
91,0.482,0.512
92,0.479,0.509
93,0.477,0.507
94,0.474,0.504
95,0.472,0.502
96,0.469,0.500
97,0.467,0.497
98,0.464,0.495
99,0.462,0.493
100,0.460,0.490
101,0.457,0.488
102,0.455,0.486
103,0.452,0.484
104,0.450,0.481
105,0.448,0.479
106,0.446,0.477
107,0.443,0.475
108,0.441,0.473
109,0.439,0.471
110,0.436,0.469
